"State","State_Abbr","FIPS_Code","2010_Population","Area(sq_mi)","Number_Of_Fatal_Accidents","Sum_Of_Fatalities.State","Sum_Of_Fatalities.Freq"
"AK","Alaska", 2,  710231,570640.95, 610,AK,1290
"AL","Alabama", 1, 4779736, 50645.33, 255,AL, 473
"AR","Arkansas", 5, 2915918, 52035.48, 272,AR, 466
"AZ","Arizona", 4, 6392017,113594.08, 481,AZ,1005
"CA","California", 6,37253956,155779.22,1935,CA,3913
"CO","Colorado", 8, 5029196,103641.89, 478,CO, 985
"CT","Connecticut", 9, 3574097,  4842.36,  97,CT, 172
"DC","District of Columbia",11,  601723,    61.05,   6,DC,  85
"DE","Delaware",10,  897934,  1948.54,  25,DE,  43
"FL","Florida",12,18801310, 53624.76,1020,FL,1928
"GA","Georgia",13, 9687653, 57513.49, 431,GA, 833
"HI","Hawaii",15, 1360301,  6422.63,  98,HI, 282
"IA","Iowa",19, 3046355, 55857.13, 134,IA, 338
"ID","Idaho",16, 1567582, 82643.12, 255,ID, 457
"IL","Illinois",17,12830632, 55518.93, 301,IL, 548
"IN","Indiana",18, 6483802, 35826.11, 222,IN, 436
"KS","Kansas",20, 2853118, 81758.72, 169,KS, 274
"KY","Kentucky",21, 4339367, 39486.34, 126,KY, 301
"LA","Louisiana",22, 4533372, 43203.90, 250,LA, 555
"MA","Massachusetts",25, 6547629,  7800.06, 175,MA, 299
"MD","Maryland",24, 5773552,  9707.24, 148,MD, 251
"ME","Maine",23, 1328361, 30842.92,  85,ME, 153
"MI","Michigan",26, 9883640, 56538.90, 359,MI, 791
"MN","Minnesota",27, 5303925, 79626.74, 215,MN, 398
"MO","Missouri",29, 5988927, 68741.52, 249,MO, 456
"MS","Mississippi",28, 2967297, 46923.27, 151,MS, 247
"MT","Montana",30,  989415,145545.80, 187,MT, 359
"NC","North Carolina",37, 9535483, 48617.91, 345,NC, 683
"ND","North Dakota",38,  672591, 69000.80,  58,ND,  86
"NE","Nebraska",31, 1826341, 76824.17, 129,NE, 218
"NH","New Hampshire",33, 1316470,  8952.65,  64,NH, 105
"NJ","New Jersey",34, 8791894,  7354.22, 199,NJ, 382
"NM","New Mexico",35, 2059179,121298.15, 253,NM, 480
"NV","Nevada",32, 2700551,109781.18, 239,NV, 502
"NY","New York",36,19378102, 47126.40, 346,NY,1381
"OH","Ohio",39,11536504, 40860.69, 316,OH, 553
"OK","Oklahoma",40, 3751351, 68594.92, 288,OK, 483
"OR","Oregon",41, 3831074, 95988.01, 318,OR, 564
"PA","Pennsylvania",42,12702379, 44742.70, 335,PA, 789
"RI","Rhode Island",44, 1052567,  1033.81,  28,RI,  64
"SC","South Carolina",45, 4625364, 30060.70, 191,SC, 332
"SD","South Dakota",46,  814180, 75811.00,  97,SD, 165
"TN","Tennessee",47, 6346105, 41234.90, 254,TN, 419
"TX","Texas",48,25145561,261231.71,1008,TX,1937
"UT","Utah",49, 2763885, 82169.62, 257,UT, 522
"VA","Virginia",51, 8001024, 39490.09, 264,VA, 583
"VT","Vermont",50,  625741,  9216.66,  53,VT,  89
"WA","Washington",53, 6724540, 66455.52, 451,WA, 790
"WI","Wisconsin",55, 5686986, 54157.80, 274,WI, 514
"WV","West Virginia",54, 1852994, 24038.21,  97,WV, 178
"WY","Wyoming",56,  563626, 97093.14, 143,WY, 262
